gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
estExt_fgenesh1_pm.C_80321	18.5249230054383	1.60040553728228	0.388995238566782	4.11420341076366	3.88518731651654e-05	0.00138936778345429
e_gw1.47.55.1	26.1536457071152	1.3245149780888	0.323464177625188	4.09478102896318	4.22567572575295e-05	0.0015031332224464
gm1.2341_g	24.1059559643114	-1.35277683208347	0.330768611836077	-4.08979807538051	4.31748894779911e-05	0.00151971090031693
e_gw1.8.536.1	37.1234949768655	-1.1047237570835	0.270395116544047	-4.08559063936921	4.39648331578193e-05	0.00153945611104177
fgenesh1_pm.1__738	13.7575594393383	-1.86117454520127	0.456485070686984	-4.07718601267793	4.55840247816906e-05	0.00158788289433837
gm1.5397_g	8.03856134986439	-3.07031669134143	0.754435791083089	-4.0696858866327	4.70765658486634e-05	0.00163142140309569
fgenesh1_pm.8__11	14.0762956434865	-1.84372585187527	0.454845434570573	-4.05352172791613	5.04523115472849e-05	0.0017394404642687
fgenesh1_kg.86__1__Locus605v1rpkm288.43	37.7125354355737	1.0386966812775	0.259080754278442	4.00916186989784	6.09346376489106e-05	0.00209012024955932
fgenesh1_pm.4__267	37.6646501642135	1.0462061837738	0.262588790394467	3.98419971470284	6.77079134879837e-05	0.0022874387054257
estExt_Genemark1.C_7_t10419	18.9037234125973	1.51714095785603	0.382785598945446	3.96342224481714	7.38829348017552e-05	0.00247121875956319
estExt_Genemark1.C_200141	16.506819266847	-1.62385832854672	0.410457042591382	-3.95621992083421	7.61450671855112e-05	0.0025342736964762
gm1.7865_g	3.63271297361391	-5.32395834917698	1.34653599064998	-3.95381808295157	7.69138967412294e-05	0.00254040324847214
fgenesh1_pm.20__115	9.05115320066011	-2.3837527060038	0.606658237430872	-3.9293172974931	8.51873725376046e-05	0.00279373027107471
estExt_Genemark1.C_320121	6.59350738933083	3.39245591088834	0.866340694800732	3.91584503792546	9.00881013872294e-05	0.00294010827973953
estExt_Genewise1Plus.C_1_t40295	30.375018191883	-1.14877550265471	0.29391915791518	-3.90847439412653	9.28807892991579e-05	0.00301660650462917
fgenesh1_kg.26__62__Locus16848v4rpkm0.28	8.73797882473669	-2.41503759338946	0.619393743567838	-3.8990345292775	9.65770031422013e-05	0.00312157303906259
fgenesh1_kg.10__411__Locus344v1rpkm479.14	23.0150226040845	-1.30579017170817	0.335848092199517	-3.88803808042012	0.000101057774357303	0.00320477083492524
CE379069_9170	10.6184821222332	-2.07560728556491	0.535476501922768	-3.87618742953595	0.00010610596218366	0.00331790876167788
fgenesh1_pg.20__70	13.9895788209351	-1.82445204616851	0.470651527788155	-3.87643923040597	0.000105996267596468	0.00331790876167788
estExt_Genewise1Plus.C_680003	6.4629873509695	-3.23182470763957	0.837208792720313	-3.86023741716629	0.000113276910150911	0.0035094961610349
e_gw1.11.618.1	9.09902603455841	2.51015118454236	0.651152715601689	3.85493467876101	0.000115760533441496	0.00356999112994119
gm1.2254_g	19.3063721900894	1.50916434865844	0.39339455505579	3.83626140540867	0.000124921442035177	0.00380021201268097
gm1.2528_g	11.1682722125604	-2.01447397230618	0.532054152547787	-3.78621980988157	0.000152956384791945	0.00455011404847897
fgenesh1_kg.43__85__Locus2645v1rpkm59.29	20.0951565401391	1.37941694220025	0.365387308026013	3.77521854727928	0.000159867439478816	0.00469340085421868
estExt_fgenesh1_pg.C_220053	15.1721242848842	-1.59634388711788	0.424584593298115	-3.7597781745157	0.000170064084250956	0.00490704222497499
fgenesh1_kg.30__177__Locus1469v1rpkm119.09	9.99103269153463	-2.1109954230727	0.561452434669284	-3.75988292635359	0.000169992891204425	0.00490704222497499
fgenesh1_pm.41__50	3.24467903102193	5.20486437584746	1.39387370707624	3.7341004062449	0.000188387332846252	0.0053666442318871
estExt_Genewise1.C_7_t10247	6.53873109081705	-2.99985303275879	0.804630539621834	-3.72823660678934	0.000192824299653261	0.0054698639939615
fgenesh1_kg.32__11__Locus5782v2rpkm16.99	5.59944679190073	-3.70157956616618	0.997621790643286	-3.71040368292209	0.000206929015530821	0.00584530996392314
fgenesh1_kg.16__210__Locus2193v1rpkm75.36	3.18031079911483	5.09575819399793	1.37466542539649	3.70690795000403	0.000209805156620689	0.00590175760653092
gm1.4924_g	4.18349139441393	-4.63390393387904	1.25087348130206	-3.70453447382667	0.000211779306148439	0.00593246781348316
